2,1,2,1,1,0
2,1,2,1,1,5
2,1,2,1,5,0
2,1,2,1,5,5
2,1,2,1,10,0
2,1,2,1,10,5
2,1,2,3,1,0
2,1,2,3,1,5
2,1,2,3,5,0
2,1,2,3,5,5
2,1,2,3,10,0
2,1,2,3,10,5
2,1,10,1,1,0
2,1,10,1,1,5
2,1,10,1,5,0
2,1,10,1,5,5
2,1,10,1,10,0
2,1,10,1,10,5
2,1,10,3,1,0
2,1,10,3,1,5
2,1,10,3,5,0
2,1,10,3,5,5
2,1,10,3,10,0
2,1,10,3,10,5
2,5,2,1,1,0
2,5,2,1,1,5
2,5,2,1,5,0
2,5,2,1,5,5
2,5,2,1,10,0
2,5,2,1,10,5
2,5,2,3,1,0
2,5,2,3,1,5
2,5,2,3,5,0
2,5,2,3,5,5
2,5,2,3,10,0
2,5,2,3,10,5
2,5,10,1,1,0
2,5,10,1,1,5
2,5,10,1,5,0
2,5,10,1,5,5
2,5,10,1,10,0
2,5,10,1,10,5
2,5,10,3,1,0
2,5,10,3,1,5
2,5,10,3,5,0
2,5,10,3,5,5
2,5,10,3,10,0
2,5,10,3,10,5
2,10,2,1,1,0
2,10,2,1,1,5
2,10,2,1,5,0
2,10,2,1,5,5
2,10,2,1,10,0
2,10,2,1,10,5
2,10,2,3,1,0
2,10,2,3,1,5
2,10,2,3,5,0
2,10,2,3,5,5
2,10,2,3,10,0
2,10,2,3,10,5
2,10,10,1,1,0
2,10,10,1,1,5
2,10,10,1,5,0
2,10,10,1,5,5
2,10,10,1,10,0
2,10,10,1,10,5
2,10,10,3,1,0
2,10,10,3,1,5
2,10,10,3,5,0
2,10,10,3,5,5
2,10,10,3,10,0
2,10,10,3,10,5
5,1,2,1,1,0
5,1,2,1,1,5
5,1,2,1,5,0
5,1,2,1,5,5
5,1,2,1,10,0
5,1,2,1,10,5
5,1,2,3,1,0
5,1,2,3,1,5
5,1,2,3,5,0
5,1,2,3,5,5
5,1,2,3,10,0
5,1,2,3,10,5
5,1,10,1,1,0
5,1,10,1,1,5
5,1,10,1,5,0
5,1,10,1,5,5
5,1,10,1,10,0
5,1,10,1,10,5
5,1,10,3,1,0
5,1,10,3,1,5
5,1,10,3,5,0
5,1,10,3,5,5
5,1,10,3,10,0
5,1,10,3,10,5
5,5,2,1,1,0
5,5,2,1,1,5
5,5,2,1,5,0
5,5,2,1,5,5
5,5,2,1,10,0
5,5,2,1,10,5
5,5,2,3,1,0
5,5,2,3,1,5
5,5,2,3,5,0
5,5,2,3,5,5
5,5,2,3,10,0
5,5,2,3,10,5
5,5,10,1,1,0
5,5,10,1,1,5
5,5,10,1,5,0
5,5,10,1,5,5
5,5,10,1,10,0
5,5,10,1,10,5
5,5,10,3,1,0
5,5,10,3,1,5
5,5,10,3,5,0
5,5,10,3,5,5
5,5,10,3,10,0
5,5,10,3,10,5
5,10,2,1,1,0
5,10,2,1,1,5
5,10,2,1,5,0
5,10,2,1,5,5
5,10,2,1,10,0
5,10,2,1,10,5
5,10,2,3,1,0
5,10,2,3,1,5
5,10,2,3,5,0
5,10,2,3,5,5
5,10,2,3,10,0
5,10,2,3,10,5
5,10,10,1,1,0
5,10,10,1,1,5
5,10,10,1,5,0
5,10,10,1,5,5
5,10,10,1,10,0
5,10,10,1,10,5
5,10,10,3,1,0
5,10,10,3,1,5
5,10,10,3,5,0
5,10,10,3,5,5
5,10,10,3,10,0
5,10,10,3,10,5
10,1,2,1,1,0
10,1,2,1,1,5
10,1,2,1,5,0
10,1,2,1,5,5
10,1,2,1,10,0
10,1,2,1,10,5
10,1,2,3,1,0
10,1,2,3,1,5
10,1,2,3,5,0
10,1,2,3,5,5
10,1,2,3,10,0
10,1,2,3,10,5
10,1,10,1,1,0
10,1,10,1,1,5
10,1,10,1,5,0
10,1,10,1,5,5
10,1,10,1,10,0
10,1,10,1,10,5
10,1,10,3,1,0
10,1,10,3,1,5
10,1,10,3,5,0
10,1,10,3,5,5
10,1,10,3,10,0
10,1,10,3,10,5
10,5,2,1,1,0
10,5,2,1,1,5
10,5,2,1,5,0
10,5,2,1,5,5
10,5,2,1,10,0
10,5,2,1,10,5
10,5,2,3,1,0
10,5,2,3,1,5
10,5,2,3,5,0
10,5,2,3,5,5
10,5,2,3,10,0
10,5,2,3,10,5
10,5,10,1,1,0
10,5,10,1,1,5
10,5,10,1,5,0
10,5,10,1,5,5
10,5,10,1,10,0
10,5,10,1,10,5
10,5,10,3,1,0
10,5,10,3,1,5
10,5,10,3,5,0
10,5,10,3,5,5
10,5,10,3,10,0
10,5,10,3,10,5
10,10,2,1,1,0
10,10,2,1,1,5
10,10,2,1,5,0
10,10,2,1,5,5
10,10,2,1,10,0
10,10,2,1,10,5
10,10,2,3,1,0
10,10,2,3,1,5
10,10,2,3,5,0
10,10,2,3,5,5
10,10,2,3,10,0
10,10,2,3,10,5
10,10,10,1,1,0
10,10,10,1,1,5
10,10,10,1,5,0
10,10,10,1,5,5
10,10,10,1,10,0
10,10,10,1,10,5
10,10,10,3,1,0
10,10,10,3,1,5
10,10,10,3,5,0
10,10,10,3,5,5
10,10,10,3,10,0
10,10,10,3,10,5
